name,Eventos,Valor Empenhado,Grupo
Maragogi/AL,1,0.0,No earmark
Marechal Deodoro/AL,2,0.0,No earmark
Matriz de Camaragibe/AL,1,0.0,No earmark
Murici/AL,2,0.0,No earmark
Paripueira/AL,1,0.0,No earmark
Passo de Camaragibe/AL,2,0.0,No earmark
Penedo/AL,1,0.0,No earmark
Pilar/AL,1,0.0,No earmark
Porto Calvo/AL,1,0.0,No earmark
Quebrangulo/AL,1,0.0,No earmark
Rio Largo/AL,2,0.0,No earmark
Santa Luzia do Norte/AL,1,0.0,No earmark
Santana do Mundaú/AL,1,0.0,No earmark
São José da Laje/AL,2,0.0,No earmark
São Luís do Quitunde/AL,2,0.0,No earmark
São Miguel dos Campos/AL,1,0.0,No earmark
São Miguel dos Milagres/AL,2,0.0,No earmark
Satuba/AL,3,0.0,No earmark
União dos Palmares/AL,1,0.0,No earmark
Viçosa/AL,1,0.0,No earmark
Aracaju/SE,5,0.0,No earmark
Areia Branca/SE,1,0.0,No earmark
Barra dos Coqueiros/SE,4,0.0,No earmark
Campo do Brito/SE,1,0.0,No earmark
Canindé de São Francisco/SE,1,0.0,No earmark
Capela/SE,1,0.0,No earmark
Estância/SE,3,0.0,No earmark
Frei Paulo/SE,1,0.0,No earmark
Ilha das Flores/SE,1,0.0,No earmark
Lagarto/SE,1,0.0,No earmark
Laranjeiras/SE,1,0.0,No earmark
Maruim/SE,2,0.0,No earmark
Neópolis/SE,1,0.0,No earmark
Nossa Senhora do Socorro/SE,1,0.0,No earmark
Poço Verde/SE,1,0.0,No earmark
Propriá/SE,3,0.0,No earmark
Santa Rosa de Lima/SE,1,0.0,No earmark
São Cristóvão/SE,3,0.0,No earmark
Amélia Rodrigues/BA,2,0.0,No earmark
Anagé/BA,1,0.0,No earmark
Andorinha/BA,2,0.0,No earmark
Antônio Cardoso/BA,1,0.0,No earmark
Araci/BA,1,0.0,No earmark
Aurelino Leal/BA,1,0.0,No earmark
Baixa Grande/BA,1,0.0,No earmark
Barra/BA,1,0.0,No earmark
Belmonte/BA,1,0.0,No earmark
Boa Nova/BA,1,0.0,No earmark
Boa Vista do Tupim/BA,1,0.0,No earmark
Bom Jesus da Lapa/BA,1,0.0,No earmark
Brejões/BA,2,0.0,No earmark
Brumado/BA,2,0.0,No earmark
Caetité/BA,3,0.0,No earmark
Cairu/BA,1,0.0,No earmark
Camacan/BA,1,0.0,No earmark
Canavieiras/BA,2,0.0,No earmark
Cansanção/BA,3,0.0,No earmark
Canudos/BA,1,0.0,No earmark
Cícero Dantas/BA,6,0.0,No earmark
Coaraci/BA,1,0.0,No earmark
Conde/BA,1,0.0,No earmark
Condeúba/BA,1,0.0,No earmark
Contendas do Sincorá/BA,2,0.0,No earmark
Cotegipe/BA,2,0.0,No earmark
Cravolândia/BA,1,0.0,No earmark
Dário Meira/BA,4,0.0,No earmark
Encruzilhada/BA,1,0.0,No earmark
Entre Rios/BA,3,0.0,No earmark
Firmino Alves/BA,2,0.0,No earmark
Floresta Azul/BA,1,0.0,No earmark
Gandu/BA,1,0.0,No earmark
Heliópolis/BA,1,0.0,No earmark
Ibicaraí/BA,1,0.0,No earmark
Ibicuí/BA,1,0.0,No earmark
Ibirapitanga/BA,1,0.0,No earmark
Ibirataia/BA,1,0.0,No earmark
Igaporã/BA,1,0.0,No earmark
Iguaí/BA,1,0.0,No earmark
Ilhéus/BA,3,0.0,No earmark
Itaberaba/BA,1,0.0,No earmark
Itacaré/BA,1,0.0,No earmark
Itaju do Colônia/BA,1,0.0,No earmark
Itajuípe/BA,1,0.0,No earmark
Itamari/BA,1,0.0,No earmark
Itambé/BA,1,0.0,No earmark
Itapebi/BA,3,0.0,No earmark
Itapetinga/BA,1,0.0,No earmark
Itapicuru/BA,1,0.0,No earmark
Itarantim/BA,1,0.0,No earmark
Itiruçu/BA,1,0.0,No earmark
Itiúba/BA,1,0.0,No earmark
Itororó/BA,2,0.0,No earmark
Jacobina/BA,4,0.0,No earmark
Jaguaquara/BA,1,0.0,No earmark
Jaguarari/BA,1,0.0,No earmark
Jequié/BA,1,0.0,No earmark
Jeremoabo/BA,1,0.0,No earmark
Juazeiro/BA,2,0.0,No earmark
Lagoa Real/BA,1,0.0,No earmark
Lajedo do Tabocal/BA,1,0.0,No earmark
Lauro de Freitas/BA,1,0.0,No earmark
Lençóis/BA,1,0.0,No earmark
Licínio de Almeida/BA,1,0.0,No earmark
Luís Eduardo Magalhães/BA,1,0.0,No earmark
Macaúbas/BA,1,0.0,No earmark
Maiquinique/BA,3,0.0,No earmark
Mansidão/BA,1,0.0,No earmark
Medeiros Neto/BA,4,0.0,No earmark
Miguel Calmon/BA,1,0.0,No earmark
Milagres/BA,1,0.0,No earmark
Mirante/BA,1,0.0,No earmark
Monte Santo/BA,1,0.0,No earmark
Mucugê/BA,2,0.0,No earmark
Muquém do São Francisco/BA,2,0.0,No earmark
Mutuípe/BA,1,0.0,No earmark
Nova Canaã/BA,1,0.0,No earmark
Pau Brasil/BA,2,0.0,No earmark
Paulo Afonso/BA,1,0.0,No earmark
Pedro Alexandre/BA,1,0.0,No earmark
Porto Seguro/BA,2,0.0,No earmark
Queimadas/BA,1,0.0,No earmark
Quijingue/BA,1,0.0,No earmark
Riachão do Jacuípe/BA,1,0.0,No earmark
Ribeira do Amparo/BA,1,0.0,No earmark
Ribeira do Pombal/BA,3,0.0,No earmark
Rio Real/BA,2,0.0,No earmark
Santa Brígida/BA,1,0.0,No earmark
